COMM,Total Income,Median Income Per Person,crime_count,Crimes Per Person Ratio
Adams-Normandie,6.8942616E7,8791.4583,5779,0.73693
Alsace,1.3181687E8,11239.50119,6466,0.55133
Angeles National Forest,562353.0,28117.65,227,11.35
Angelino Heights,4.374584E7,18411.54882,1497,0.63005
Arleta,3.98153976E8,12110.77917,14542,0.44233
Atwater Village,4.0155696E8,28477.19736,9696,0.68761
Baldwin Hills,4.95497352E8,17302.69763,34194,1.19405
Bel Air,5.20784494E8,63041.33809,3532,0.42755
Beverly Crest,7.43010853E8,60947.4902,4527,0.37134
Beverlywood,3.63359998E8,29267.82102,6471,0.52122
Boyle Heights,6.96147034E8,8425.1762,59656,0.72199
Brentwood,1.782691149E9,60840.62486,14756,0.5036
Brookside,1.1264087E7,18138.62641,550,0.88567
Cadillac-Corning,1.3045261E8,19572.7847,4445,0.66692
Canoga Park,1.158639981E9,19656.9564,52816,0.89605
Carthay,6.56158931E8,49841.16453,12273,0.93224
Central,2.46980548E8,6972.51843,24981,0.70524
Century City,5.48170741E8,46103.5106,10176,0.85585
Century Palms/Cove,2.6248474E8,8552.22012,38877,1.26668
Chatsworth,1.059535629E9,30580.87653,23963,0.69163
Cheviot Hills,3.30246335E8,36600.5026,5001,0.55425
Chinatown,1.07926768E8,14058.45617,9645,1.25635
Cloverdale/Cochran,2.05722182E8,14660.93087,9934,0.70795
Country Club Park,2.27344008E8,15774.63281,10536,0.73106
Crenshaw District,1.96122482E8,14905.18939,13297,1.01056
Crestview,3.5943299E8,33327.12007,7338,0.68039
Del Rey,9.29911374E8,33675.35938,15432,0.55885
Downtown,4.37735142E8,18511.23364,99510,4.20814
Eagle Rock,7.79488004E8,20685.40201,18931,0.50238
East Hollywood,3.97695599E8,14006.32524,23023,0.81084
Echo Park,2.94947251E8,21598.36343,9954,0.72891
El Sereno,5.39665504E8,13556.70981,19734,0.49573
Elysian Park,7.3060257E7,13871.32276,5714,1.08487
Elysian Valley,1.58476661E8,16254.01651,5873,0.60236
Encino,1.623576201E9,38338.00564,29803,0.70375
Exposition,3.990153E7,12322.89376,4379,1.35238
Exposition Park,3.49186694E8,8291.66039,47732,1.13343
Faircrest Heights,7.1988006E7,20908.51176,4408,1.28028
Figueroa Park Square,7.6928245E7,9298.71208,8180,0.98876
Florence-Firestone,3.52563395E8,8079.27483,48586,1.11339
Glassell Park,5.59307684E8,18824.30277,14916,0.50202
Gramercy Place,1.54759129E8,14936.6981,11148,1.07596
Granada Hills,1.523189506E9,27608.01686,31903,0.57825
Green Meadows,1.59105078E8,8027.09641,23975,1.20958
Hancock Park,3.35079009E8,21538.7934,13975,0.89831
Harbor City,5.7663596E8,21383.02221,17331,0.64267
Harbor Gateway,6.48389998E8,16154.82355,26302,0.65532
Harbor Pines,4.2109129E7,19236.69667,1220,0.55733
Harvard Heights,2.00373929E8,11820.77335,13235,0.78078
Harvard Park,3.58892375E8,9846.96614,43771,1.20095
Highland Park,7.68461731E8,16888.52646,22765,0.50031
Historic Filipinotown,2.01455375E8,15175.54614,11127,0.83819
Hollywood,1.600746144E9,25648.05076,96810,1.55114
Hollywood Hills,1.199930991E9,43015.98821,22669,0.81265
Hyde Park,3.95203098E8,14143.18785,30263,1.08303
Jefferson Park,7.8090384E7,10258.85234,5194,0.68234
Koreatown,6.55983031E8,13588.46258,37527,0.77736
Lafayette Square,7.2782232E7,16700.83341,3982,0.91372
Lake Balboa,6.71058638E8,17289.08739,23357,0.60177
Lakeview Terrace,2.01553802E8,15991.2569,7857,0.62337
Leimert Park,2.39209264E8,16098.61121,18051,1.21482
Lincoln Heights,3.39536086E8,10902.13479,19391,0.62262
Little Armenia,1.1278435E8,15092.24542,6467,0.86538
Little Bangladesh,4.91062342E8,18590.28363,19626,0.74299
Little Tokyo,5.1743576E7,15281.62315,13614,4.02067
Longwood,5.649842E7,13420.05226,3074,0.73017
Los Feliz,6.26464212E8,30473.01352,18659,0.90763
Manchester Square,1.20320216E8,14589.57391,8987,1.08973
Mandeville Canyon,1.7966463E8,55572.1095,848,0.2623
Mar Vista,1.297050954E9,33150.61478,19434,0.4967
Marina Peninsula,2.82927205E8,65235.69403,2656,0.6124
Melrose,1.594668229E9,21688.49426,66893,0.90979
Mid-city,3.11653132E8,21734.649,11574,0.80717
Miracle Mile,6.23571124E8,38834.84611,14163,0.88205
Mission Hills,3.90562484E8,17158.53106,14944,0.65653
Mt. Washington,3.8250542E8,16611.17037,11060,0.48031
North Hills,9.1465542E8,16224.48639,36929,0.65506
North Hollywood,2.46310208E9,17301.43913,114090,0.8014
Northridge,1.42126372E9,21953.74844,50457,0.77939
Pacific Palisades,1.458554137E9,70656.11282,9307,0.45086
Pacoima,8.62065346E8,11699.01538,40739,0.55287
Palisades Highlands,2.56302897E8,66867.43986,788,0.20558
Palms,1.268569911E9,30599.65533,21279,0.51328
Panorama City,7.1041937E8,10221.12611,45166,0.64982
Park La Brea,4.31455662E8,36619.90002,12079,1.02521
Pico-Union,4.1677169E8,10469.54607,31109,0.78148
Playa Del Rey,1.4376036E8,45522.59658,2454,0.77707
Playa Vista,4.48660676E8,50264.47188,7281,0.81571
Porter Ranch,1.105628954E9,35201.02372,12668,0.40332
Rancho Park,2.43868702E8,38740.06386,7902,1.25528
Regent Square,5.2609628E7,19615.81954,2097,0.78188
Reseda,1.215749753E9,16927.96827,43870,0.61084
Reseda Ranch,6.4374014E7,14318.06361,3473,0.77246
Reynier Village,9.9882888E7,24451.13537,2930,0.71726
San Pedro,1.786072582E9,24244.56124,57101,0.7751
Shadow Hills,1.1228387E8,25204.01122,2599,0.58339
Sherman Oaks,3.075894078E9,37767.44567,64370,0.79037
Silverlake,1.029245174E9,24918.17393,29840,0.72243
South Carthay,4.02017715E8,39831.34004,7299,0.72317
South Park,2.4581902E8,6943.25556,31378,0.88628
St Elmo Village,5.8493176E7,13123.88961,3373,0.75679
Studio City,9.11964099E8,44049.85263,19245,0.92958
Sun Valley,7.21537476E8,14076.85733,33915,0.66167
Sunland,5.13225685E8,26121.0141,9821,0.49985
Sycamore Square,1.9124183E7,30116.82362,716,1.12756
Sylmar,1.262689204E9,16311.07442,40078,0.51772
Tarzana,8.63674267E8,29095.61606,21924,0.73858
Temple-Beaudry,5.41725333E8,14815.40634,26923,0.73631
Thai Town,2.5106127E8,26851.47273,4961,0.53059
Toluca Lake,2.92663815E8,37050.7425,6141,0.77744
Toluca Terrace,2.6237959E7,20167.5319,300,0.23059
Toluca Woods,4.4744591E7,24517.58411,1172,0.64219
Tujunga,5.96077498E8,22248.33898,12173,0.45435
University Hills,3.6911084E7,11766.36404,1078,0.34364
University Park,1.70490975E8,6863.01324,25793,1.03828
Valley Glen,5.16287162E8,18271.77102,15673,0.55468
Valley Village,6.34164831E8,28191.36835,15317,0.68091
Van Nuys,1.246259577E9,14488.18955,78883,0.91704
Venice,1.553435569E9,47614.88334,40942,1.25493
Vermont Knolls,1.75107223E8,10499.29386,20367,1.22119
Vermont Square,5.8681791E7,8329.56579,5634,0.79972
Vermont Vista,3.13981199E8,8361.68306,50165,1.33595
Vernon Central,3.2306881E8,6624.19901,35546,0.72883
Victoria Park,1.24505248E8,15596.29813,5850,0.73281
View Heights,4.974854E7,15274.34449,2259,0.69358
Watts,3.07509982E8,7754.24218,39461,0.99506
Wellington Square,6.1931618E7,13445.85714,4527,0.98285
West Adams,2.85790672E8,10767.08255,20771,0.78254
West Hills,1.102506327E9,28761.28472,18527,0.48332
West Los Angeles,1.356828991E9,39714.0053,28397,0.83117
West Vernon,4.38753538E8,8722.73435,54032,1.07419
Westchester,1.632023761E9,33988.45744,57124,1.18966
Westlake,5.5279688E8,10117.44354,54794,1.00286
Westwood,1.31426043E9,25505.25782,20698,0.40168
Wholesale District,2.87167061E8,7728.68611,81475,2.19278
Wilmington,5.86663297E8,11169.22031,39582,0.75358
Wilshire Center,7.55065868E8,15965.02522,40843,0.86358
Winnetka,9.38810693E8,19638.74766,31974,0.66886
Woodland Hills,2.381976501E9,37616.29267,44974,0.71023
